Entity,Entity_Type,Links_To,Relationship,Description,Category,Importance,Tags,Action_For_Interview
Jordan Mazer,Person,a16z speedrun,Works_At,"Partner at a16z speedrun for 3+ years; focuses on talent and early-stage founders",Identity,Critical,person|vc|recruiter,Know his exact title and team before the interview
Jordan Mazer,Person,Riot Games,Previously_At,"Led recruiting at Riot Games; made 37 hires in year 1 when expectation was 2; promoted 4x",Identity,Critical,person|gaming|career-history,Reference his Riot background to show you did research
Jordan Mazer,Person,Amazon,Interviewed_At,"Received offers from Amazon Google Facebook Airbnb a16z Riot - has been on both sides of the table",Identity,High,person|bigtech|experience,Shows he understands what great hiring looks like from candidate side
Jordan Mazer,Person,15 Years Recruiting,Metric,"15 years in recruiting across agency startups and VC",Identity,Critical,person|experience|expertise,Signals deep expertise - don't try to teach him basics
Jordan Mazer,Person,30000 Interviews,Metric,"Has conducted approximately 30000 interviews throughout career",Identity,Critical,person|metric|scale,He has seen every trick - be genuine not performative
Jordan Mazer,Person,Quiznos,First_Job,"First job was at Quiznos - proud that non-elite path led to elite outcomes",Identity,High,person|background|underdog,He resonates with non-obvious profiles and hustle narratives
Jordan Mazer,Person,Orlando Florida,Grew_Up_In,"Grew up in backwater Orlando - not a Silicon Valley native; went to non-elite college",Identity,High,person|background|authenticity,Don't pretend to be someone you're not - he values the underdog
Jordan Mazer,Person,Running,Personal_Passion,"Runs 40+ miles per week; averages 7:45 pace; has run 16+ half marathons in 4 months",Personal,High,person|fitness|discipline,Mention fitness or discipline if it comes up naturally - he connects with it
Jordan Mazer,Person,Claude Code,Uses_Daily,"Uses Claude Code for vibe coding; built first hosted website; excited about AI tools",Personal,High,person|ai|tools,He is genuinely excited about Claude - mentioning this could be a rapport builder
Jordan Mazer,Person,LinkedIn Content,Creates_Daily,"330k+ followers; posts every day before 7:30am; 100M+ impressions",Personal_Branding,Critical,person|content|linkedin,He values consistency and discipline in output
Jordan Mazer,Person,Eric Danker,Mentored_By,"First manager who gave feedback Jordan could receive without getting defensive; promoted him 4x at Riot",Relationship,High,person|mentor|manager,Shows what he values in a manager - caring + critical = turbo fuel
Jordan Mazer,Person,Andrew Chen,Works_With,"Boss at a16z speedrun; encouraged OLAD posting strategy; runs speedrun investing team",Relationship,High,person|colleague|a16z,Andrew Chen is his direct boss and a key figure
Jordan Mazer,Person,Bella Nazzari,Colleague,"Colleague on a16z speedrun talent team; also does hiring content on LinkedIn",Relationship,Medium,person|colleague|talent,Know the full team if you can
Jordan Mazer,Person,Jordan Carver,Colleague,"Colleague on a16z speedrun talent team; ex-Riot Games; often embarrassed by Jordan's sign photos",Relationship,Medium,person|colleague|humor,The sign guy meme is self-aware - he knows he's cringe and owns it
a16z speedrun,Organization,300 Portfolio Companies,Has,"Speedrun has invested in 300+ early stage companies with $300M+ deployed",Organization,Critical,vc|portfolio|scale,Show you understand the scope of what he manages
a16z speedrun,Organization,Talent Network,Operates,"Connects job seekers to portfolio companies; placed hundreds of engineers designers PMs",Organization,Critical,vc|talent|hiring,He runs the talent operation not just advises on it
a16z speedrun,Organization,Alpha Fellowship,Runs,"Fellowship for students and recent grads; 15 fellows selected from 10000+ applicants",Program,High,vc|program|students,Highly competitive program he is actively marketing
a16z speedrun Alpha,Program,Founder Track,Contains,"$20k equity-free grant + up to $250k investment; build full-time this summer",Program,Critical,fellowship|funding|founders,He is very proud of this program - understand both tracks
a16z speedrun Alpha,Program,Joiner Track,Contains,"Placed at fast-growing portco in full-time founding engineer role (not internship)",Program,Critical,fellowship|jobs|engineers,Key distinction - full time not internship
a16z speedrun Alpha,Program,Marc Andreessen,Features,"Both tracks include time with Marc Andreessen and Andrew Chen",Program,High,fellowship|network|mentorship,The network access is a key selling point he emphasizes
Inbound Applicants,Opinion,Hiring Teams,Jordan_Defends,"Jordan actively fights for applicants; believes hiring teams have psychological dysfunction dismissing them",Hiring_Philosophy,Critical,hiring|bias|advocacy,Do NOT say you only respond to sourced candidates - he will push back hard
4 Interview Rule,Concept,Google Research,Based_On,"Google found 4 interviews reaches 86% confidence; each additional adds less than 1% utility",Hiring_Philosophy,Critical,hiring|process|efficiency,He cites this specifically - shows his evidence-based approach to hiring
4 Interview Rule,Concept,Org Dysfunction Signal,Reveals,"More than 4 interviews signals: role clarity issues OR poor interview skills OR inmates run asylum OR warring silos",Hiring_Philosophy,Critical,hiring|culture|red-flags,If asked about your experience with long processes - use this framework
Consensus Hiring,Opinion,Hiring Manager Accountability,Against,"Hiring decisions should NOT be consensus endeavors; hiring manager is ultimately accountable for outcomes",Hiring_Philosophy,Critical,hiring|accountability|management,He hired against 9 no votes once - it worked out; he owns his calls
Sourced Candidates,Opinion,Hiring Teams Must Sell,Believes,"If you solicit interest you must get them excited; you cannot expect passion from someone you cold approached",Hiring_Philosophy,High,hiring|candidate-experience|fairness,He thinks expecting passion from sourced candidates is dumb
Self-Awareness Signal,Candidate_Signal,5 Candidate Signals,Is_Part_Of,"Can articulate what they like what they don't like what they want next and what they're good/bad at",Hiring_Philosophy,Critical,candidates|signal|evaluation,Most people haven't reflected on this - be ready to answer clearly
Honest Even If DQ Signal,Candidate_Signal,5 Candidate Signals,Is_Part_Of,"Great candidates don't want to win a job they aren't a fit for; willing to share self-disqualifying info",Hiring_Philosophy,Critical,candidates|signal|authenticity,Don't try to win the interview - work WITH him to find the right fit
Positive Mindset Signal,Candidate_Signal,5 Candidate Signals,Is_Part_Of,"Stay positive; don't denigrate past employers or colleagues; if not ready to be positive don't interview",Hiring_Philosophy,Critical,candidates|signal|attitude,Do NOT trash any past employer or manager even if asked
Researched Signal,Candidate_Signal,5 Candidate Signals,Is_Part_Of,"Read everything about the company; ask LLMs to prep; learn about people you'll interview with",Hiring_Philosophy,Critical,candidates|signal|preparation,Show you researched him specifically - mention posts you found insightful
Owner Mindset Signal,Candidate_Signal,5 Candidate Signals,Is_Part_Of,"Leads with desire to make impact on business; not benefits or titles or tech stack preferences",Hiring_Philosophy,Critical,candidates|signal|mindset,Frame your motivations around business impact not personal gain
Tell Me About Yourself,Interview_Question,Jordan's Advice,How_To_Answer,"60-90 seconds max; treat it like a highlight reel not memoir; hit each role briefly; hobbies barely belong",Interview_Tips,Critical,interview|question|answer,Prepare a tight 90-second version of your story
What Motivates You,Interview_Question,Jordan's Advice,How_To_Answer,"Nothing lands better than seeing the business win; close second is watching team succeed; red flags: money titles",Interview_Tips,Critical,interview|question|answer,Do NOT say money or titles even if that's part of it
Why Are You Leaving,Interview_Question,Jordan's Advice,How_To_Answer,"Don't answer this directly; pivot immediately to what you're running toward; any negativity about employer is BAD",Interview_Tips,Critical,interview|question|answer,Prepare a forward-looking answer that doesn't mention negatives
Salary Expectations,Interview_Question,Jordan's Advice,How_To_Answer,"No number full stop; say you'd rather understand the complete opportunity first; this is negotiating leverage",Interview_Tips,Critical,interview|question|negotiation,He teaches this publicly - he will respect you for following it
How Do You Manage Priorities,Interview_Question,Jordan's Advice,How_To_Answer,"Partner with manager and stakeholders to establish what matters; separate urgency from real impact; give concrete story",Interview_Tips,High,interview|question|answer,Have a real story ready about something you consciously deprioritized
Where Do You See Yourself In 5 Years,Interview_Question,Jordan's Advice,How_To_Answer,"Loyalty test not career planning; talk about sharpening craft and expanding impact; wherever I can best serve business",Interview_Tips,High,interview|question|answer,"Wherever I can best serve the business" lands every time per Jordan
Ask Good Questions,Interview_Principle,Candidate_Behavior,Advocates_For,"Don't sell yourself short; they're lucky to have you too; great employers see inquisitiveness as positive signal",Interview_Tips,Critical,interview|questions|mindset,Prepare 3-5 genuinely sharp questions that show you evaluated the opportunity too
Claude,AI_Tool,Resume Work,Best_For,"Jordan recommends Claude specifically for story refinement and long-form resume work",AI_Tools,High,ai|tool|recommendation,Literally using Claude Code to help you prep for this interview is on-brand
ChatGPT,AI_Tool,Mock Interviews,Best_For,"Jordan recommends ChatGPT for mock interviews and rapid drill practice",AI_Tools,Medium,ai|tool|recommendation,Mention you used AI tools to prepare - he thinks that's smart
Perplexity,AI_Tool,Company Research,Best_For,"Jordan recommends Perplexity for real-time company research with live sources",AI_Tools,Medium,ai|tool|recommendation,Show you used multiple tools to research a16z speedrun
Manus,AI_Tool,Job Search,Recommends,"Jordan is impressed by Manus for contextual job searching with complex filters",AI_Tools,Medium,ai|tool|recommendation,Emerging tool he's excited about - shows he keeps up with new AI tools
Vibe Coding,Concept,Claude Code,Enabled_By,"Jordan went from no coding experience to building hosted projects in 2 weeks using Claude Code",AI_Tools,High,ai|coding|creativity,He finds vibe coding both exciting and terrifying for the future of work
AI Cheating Rate,Data_Point,Technical Assessments,Observed,"2 in 3 candidates flagged for suspicious AI use in technical assessments; higher at elite universities",AI_Concerns,Critical,ai|ethics|hiring|assessment,He is watching for cheating - if assessed be authentic about tool use
Deepfakes in Hiring,Concern,Interview_Process,Emerging_Issue,"Some candidates use deepfake stand-ins in video interviews - he has encountered this",AI_Concerns,High,ai|fraud|interviews,Camera on mandatory in his view - camera off in interview is a no
SWE Automation Question,Opinion,Anthropic CEO Prediction,Nuanced_View,"Skeptical of 12-month SWE full automation; believes 10 year change more realistic; cites Gates quote",AI_Concerns,High,ai|future-of-work|engineering,He is thoughtful here - not a doom-monger or a denier
OLAD Strategy,Content_Strategy,LinkedIn,Method,"One Line A Day posting; must be published before 7:30am; has done this 600+ consecutive days",Personal_Branding,Critical,content|linkedin|discipline,This daily discipline mirrors his 'dailies' philosophy about work habits
Face In Frame,Content_Strategy,Engagement,Tactic,"43 of his top 50 posts had images; most had a human face; slightly illegible images create dwell time",Personal_Branding,High,content|engagement|tactics,He values authenticity over polish in all areas
Authenticity Over Polish,Content_Strategy,Personal_Brand,Core_Principle,"Don't make things look perfect; say what you actually think; swallow your pride and be different",Personal_Branding,Critical,content|values|authenticity,Matching this energy in your interview will land better than being overly polished
Engagement Loop,Content_Strategy,Audience_Growth,How_It_Works,"Humor posts drive engagement; engagement helps priming; value posts drive followers; they compound",Personal_Branding,High,content|strategy|growth,He has a systems-thinking approach to content - it's not random
Heart On Fire Emoji,Content_Strategy,Post_Performance,Observation,"Changed one emoji in CTA and got 3x performance; heart-on-fire emoji dominates",Personal_Branding,Low,content|emoji|tactics,Fun detail to reference if you want to show you read his posts deeply
Startup Risk Reframe,Philosophy,Career_Advice,Advocates,"Startup death does not equal career death; equity can be life-changing; you get more responsibility faster",Startup_Philosophy,High,startups|risk|career,He believes in startups viscerally - his beach house came from equity
Unposted Jobs,Concept,Startup_Hiring,Reality,"Most startup jobs never touch LinkedIn - they hire via referral or talent network intros",Job_Search,Critical,jobs|startups|hidden-market,The core value prop of his talent network
ATS Site Search,Job_Search_Tactic,Google,How_To,"Use site:boards.greenhouse.io or site:ashbyhq.com with boolean search to find unlisted jobs",Job_Search,High,jobs|search|tactics,He teaches this publicly - showing you know it signals you're resourceful
LinkedIn URL Hack,Job_Search_Tactic,LinkedIn,How_To,"Replace 86400 with 3600 in LinkedIn job URL + sort most recent = jobs posted in last hour",Job_Search,Medium,jobs|linkedin|tactics,Another signal of resourcefulness if you mention knowing this
VC Job Boards,Resource,Job_Search,List,"a16z; YC; Sequoia; Greylock; Bessemer; Kleiner Perkins all have portfolio job boards",Job_Search,High,jobs|vc|resources,Know that the a16z job board is the one he most directly influences
Remote Work Reality,Opinion,Location_Requirements,Explains,"Remote does not mean live anywhere; tax nexus issues; labor laws vary; EOR doesn't solve everything",Work_Culture,High,remote|legal|hiring,He has nuanced views here - not blindly pro or anti remote
Hiring Timeline Reality,Opinion,Expectations,States,"Good hires typically take 2 months not 2 weeks; humans are not commodities ordered off a shelf",Work_Culture,High,hiring|timeline|expectations,If asked about your timeline - be honest and realistic
Dailies Habit,Career_Philosophy,Productivity,Advocates,"Consistent daily rituals drive output; he does 50 outbound reachouts every morning before reading email",Career_Philosophy,Critical,habits|productivity|discipline,He would respond well to you describing a consistent daily practice you have
Great Managers,Career_Philosophy,Career_Growth,Values,"Best manager combo: cares about you + believes in you + gives deeply critical and earned feedback",Career_Philosophy,Critical,management|growth|mentorship,Eric Danker embodied this for him - show you can give and receive feedback
Symbiotic Mutualism,Career_Philosophy,Employee_Employer,Believes,"Best employees see employer relationship as mutual not adversarial; clownfish and anemone analogy",Career_Philosophy,High,mindset|work|relationships,Don't show any cynicism about past employers - he reads it as dysfunction
Ship Fast Philosophy,Career_Philosophy,Execution,Advocates,"People protect ego by endless debate instead of shipping; ship 10 iterations before peers decide on one",Career_Philosophy,High,execution|startups|speed,He respects action over deliberation - have examples of moving fast
Inside Straight Draw,Career_Philosophy,Decision_Making,Analogy,"Warning against making bad decisions just because they sometimes work out; don't confuse luck with skill",Career_Philosophy,Medium,decisions|luck|wisdom,Shows he values clear probabilistic thinking over narrative reasoning
Fixed Personality Traits,Philosophy,Human_Nature,Believes,"Core traits are fixed after adulthood; growth is learning to manage not change core character",Personal_Philosophy,Medium,personality|growth|self-awareness,He is self-aware about his own challenging traits - show similar self-awareness
Luck Plus Preparation,Career_Philosophy,Success,Believes,"Luck plays a real role but capitalizing on lucky moments requires prior relationship building and great work",Career_Philosophy,High,luck|success|preparation,His day-2 story at a16z - luck met preparation; have a similar story ready
Camera Off Policy,Hard_Rule,Video_Interviews,Against,"Camera off in a video interview that was communicated as video = no from him",Hard_Rules,Critical,interview|behavior|red-flags,Do NOT do this in your interview with him
No-Show Policy,Hard_Rule,Candidate_Behavior,Against,"No call no show = likely no reschedule; candidates canceling via Calendly mid-call tilts him more",Hard_Rules,Critical,interview|behavior|red-flags,Be early to his interview and communicate if anything changes
Negativity About Employers,Hard_Rule,Interview_Behavior,Against,"Any negativity about current employer in an interview is bad; stay positive and forward-looking",Hard_Rules,Critical,interview|behavior|red-flags,Even if your last job was terrible frame your departure positively
Salary Number First,Hard_Rule,Negotiation,Against,"Never give a salary number first in a screening call; you burn your negotiating leverage",Hard_Rules,Critical,negotiation|salary|tactics,If he asks defer gracefully
Certifications In Education,Opinion,LinkedIn_Profile,Negative_View,"Listing professional certs in education section signals concerted distraction from actual degree",Profile_Tips,Medium,linkedin|profile|credentials,Don't front-load certs over substance - he notices
Word Recruiting For Job Seeking,Observation,Language,Finds_Odd,"Candidates saying they are actively recruiting (as job seekers) is a new trend he finds confusing",Culture_Observation,Low,language|trends|humor,Fun conversational detail if the interview gets casual
Cold Email Best Practice,Advice,Job_Seekers,Shares,"Best cold emails are concise don't list accolades and don't call themselves executives",Job_Search,High,outreach|email|tips,He shared a specific example publicly - short and direct beats comprehensive
Interview Scheduling Tip,Advice,Candidates,Shares,"Schedule interviews around 1pm - interviewers are happiest then; avoid 9am and 4:30pm",Interview_Tips,Medium,interview|scheduling|tactics,If you have scheduling flexibility aim for midday
Progress Over Perfection,Career_Philosophy,Content_Creation,Applies,"Failed posts by definition won't be seen by many people; treat posting as daily requirement",Personal_Branding,High,mindset|creation|progress,He has a growth mindset about putting things out into the world
Non-Obvious Talent,Value,a16z_Speedrun,Seeks,"Goal is to find non-obvious people like Palmer Luckey (community college) or Marc Andreessen (rural Wisconsin)",Talent_Philosophy,Critical,talent|diversity|underdog,He actively looks past prestige signals - be genuine about your actual path
Juicebox Tool,Tool_Recommendation,LinkedIn_Recruiter,Replaces,"Jordan cancelled $130k/yr LinkedIn Recruiter subscription for Juicebox at less than 10% the cost",Tools,Medium,tools|recruiting|cost,Shows he's cost-conscious and willing to disrupt established tools
Candidate as Prize Mindset,Interview_Tip,Candidates,Advocates,"Act like they're lucky to have you; ask serious questions as the other party evaluating the fit",Interview_Tips,Critical,interview|mindset|confidence,Don't be desperate or overly deferential - show genuine mutual evaluation
